Image,diagnostics_Versions_PyRadiomics,diagnostics_Versions_Numpy,diagnostics_Versions_SimpleITK,diagnostics_Versions_PyWavelet,diagnostics_Versions_Python,diagnostics_Configuration_Settings,diagnostics_Configuration_EnabledImageTypes,diagnostics_Image-original_Hash,diagnostics_Image-original_Dimensionality,diagnostics_Image-original_Spacing,diagnostics_Image-original_Size,diagnostics_Image-original_Mean,diagnostics_Image-original_Minimum,diagnostics_Image-original_Maximum,diagnostics_Mask-original_Hash,diagnostics_Mask-original_Spacing,diagnostics_Mask-original_Size,diagnostics_Mask-original_BoundingBox,diagnostics_Mask-original_VoxelNum,diagnostics_Mask-original_VolumeNum,diagnostics_Mask-original_CenterOfMassIndex,diagnostics_Mask-original_CenterOfMass,original_firstorder_Entropy,original_firstorder_Energy,original_firstorder_Uniformity,original_firstorder_MeanAbsoluteDeviation,original_firstorder_Skewness,original_firstorder_Kurtosis,original_glcm_Contrast,original_glcm_Idm,original_glcm_Correlation,original_glcm_ClusterProminence,original_glcm_ClusterShade,original_gldm_GrayLevelNonUniformity,original_gldm_DependenceNonUniformity,original_gldm_DependenceVariance,original_gldm_LowGrayLevelEmphasis,original_gldm_HighGrayLevelEmphasis,original_glszm_ZoneEntropy,original_glszm_LargeAreaEmphasis,original_glszm_SmallAreaEmphasis,original_glszm_GrayLevelVariance,original_glszm_SizeZoneNonUniformity,original_glrlm_RunLengthNonUniformity,original_glrlm_ShortRunEmphasis,original_glrlm_LongRunEmphasis
Normal- (1785).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},b044da4ded0ca810b9070852f7621b1151756cf6,2D,"(1.0, 1.0)","(768, 768)",105.4452616373698,25.0,255.0,f6e5c584c60cabc52246bc36803c6b37af6963bb,"(1.0, 1.0)","(768, 768)","(435, 201, 150, 90)",1257,3,"(537.5003977724741, 257.69212410501194)","(537.5003977724741, 257.69212410501194)",1.5146078978808288,37901408.0,0.41172583888221187,12.214928777525254,0.4311077735282115,3.7668505011164455,0.6883144087680169,0.7365107023587897,0.2706906143049115,5.022197867752238,0.7182311104352024,517.5393794749403,166.0835322195704,4.211838999929749,0.09686312207195262,12.30230708035004,4.197489644820317,1166.8357487922706,0.5770286415751442,1.1480781348456206,65.14492753623189,336.5466677457683,0.6985770900200845,4.842181682142137
Normal- (1786).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},4de80ad7902cc77c784b3bfeb0c7b1f1ced35306,2D,"(1.0, 1.0)","(768, 768)",105.48096720377605,25.0,255.0,2f680542ae5e34bc383e9d473fd4b65c460a28ab,"(1.0, 1.0)","(768, 768)","(417, 231, 180, 60)",1744,2,"(499.32339449541286, 255.46100917431193)","(499.32339449541286, 255.46100917431193)",1.4688897534914975,54157627.0,0.4110778238363774,12.2943624537076,0.2446675754114214,2.987786932049323,0.6273816932046208,0.7413989457848944,0.291486139463739,3.7365217379592104,0.26909976616062264,716.9197247706422,238.07339449541286,3.9283611964481104,0.09030708460754332,12.95584862385321,4.30661816891413,1969.863453815261,0.5562135820595,1.1061434492992048,73.08835341365462,440.00868328611364,0.6824284747113565,5.027080216225662
Normal- (1787).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},6a208241cf6c608baa8daa71ffb20e73210d95e6,2D,"(1.0, 1.0)","(761, 759)",100.53675300684385,37.0,255.0,c3ee11010d973aae6f8bdbca5a32193a98b025ab,"(1.0, 1.0)","(761, 759)","(181, 406, 6, 6)",28,1,"(183.53571428571428, 408.57142857142856)","(183.53571428571428, 408.57142857142856)",0.22228483068568733,100884.0,0.931122448979592,5.04591836734694,2.051244301196841,8.587580957025292,0.04365530303030303,0.9781723484848485,0.2275008407274234,0.03416055925830901,0.03615987105581468,26.071428571428573,4.214285714285714,4.943877551020408,0.9732142857142857,1.1071428571428572,0.9999999999999993,365.0,0.5006858710562414,0.25,1.0,4.972527472527473,0.5028632478632479,9.557692307692308
Normal- (1788).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},25c2350b151dfa9ed575d0b9e370849ebc09e15e,2D,"(1.0, 1.0)","(761, 759)",100.37697260556199,37.0,255.0,47de6dd40e33f94d00f35fa92667cc0cf263a494,"(1.0, 1.0)","(761, 759)","(181, 418, 6, 12)",57,1,"(183.64912280701753, 423.2456140350877)","(183.64912280701753, 423.2456140350877)",0.7674439994966349,231741.0,0.7482302246845184,7.708217913204064,1.6788905029507006,6.19748955644521,0.17552430677430678,0.9122378466128466,0.38711043953042684,1.487598055070575,0.42853187589270714,42.64912280701754,7.912280701754386,4.354570637119114,0.26084307992202727,4.543859649122807,2.5849625007211543,387.8333333333333,0.5521556712962963,0.9166666666666666,2.0,8.163731443994601,0.5359574576513015,8.435821524966263
Normal- (1789).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},49a7d9f9c7d3d92a9390d2e464004b38fb406fa9,2D,"(1.0, 1.0)","(761, 759)",100.2451371972597,37.0,255.0,dd48b5b60c83569b16fd06e16be92997f1246cad,"(1.0, 1.0)","(761, 759)","(217, 448, 59, 29)",107,2,"(257.14018691588785, 457.95327102803736)","(257.14018691588785, 457.95327102803736)",1.1047541564778294,492517.0,0.6259935365534106,10.549917023320813,2.7874105732068823,14.960248325365558,0.6281426221804511,0.8330704403471915,0.338482388595032,19.57072445150803,3.868436142609487,66.98130841121495,14.738317757009346,5.008297667918595,0.24972481827622015,5.355140186915888,3.083765141069548,203.3181818181818,0.7240431744689987,1.5392561983471076,10.818181818181818,23.765656793377726,0.6579732592358513,5.637191315205327
Normal- (179).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},8e83fb8794a958442aa75728801d18b9e9b0c3ef,2D,"(1.0, 1.0)","(766, 766)",116.67755080476383,46.0,255.0,0646e081b53bf4b666937ccf77645d11a1322b52,"(1.0, 1.0)","(766, 766)","(440, 410, 54, 150)",236,4,"(448.521186440678, 543.5550847457627)","(448.521186440678, 543.5550847457627)",1.4983629061067625,9362461.0,0.41141195058891133,12.38250502729101,0.48862925700311366,3.3206526166966595,0.6849659979598774,0.7324581774906496,0.20963669345314967,4.337878493725537,0.4681059320547708,97.09322033898304,40.97457627118644,2.680982476299914,0.22356873822975518,6.495762711864407,4.1537016960573405,117.65,0.5045462515309459,1.1,9.95,79.73495836353251,0.7301621471968125,3.420489219764858
Normal- (1790).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},4d44e1332c43883d4461ce882c19ff6bc87d5d5e,2D,"(1.0, 1.0)","(761, 759)",100.15801620155159,37.0,255.0,1b1b772ed91a459e281a27236cd99974df9a0eaa,"(1.0, 1.0)","(761, 759)","(217, 335, 83, 131)",546,2,"(277.2912087912088, 443.7893772893773)","(277.2912087912088, 443.7893772893773)",2.22008850739268,4921487.0,0.33867353647573434,32.99981215365831,2.0973647137036915,6.9904099730651215,1.7481100237244709,0.6968148421255032,0.7714124213084701,1374.7048230315245,109.09828853118131,184.91575091575092,66.40293040293041,5.981631311301641,0.2843205039952489,11.586080586080586,4.8488013111706145,552.6379310344828,0.5152756097256229,5.60077288941736,31.74137931034483,146.30301826575072,0.7125915473020861,6.245133615363151
Normal- (1795).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},7114acf19c597fef4da74615e2425ed9137488c2,2D,"(1.0, 1.0)","(761, 759)",99.67244749384955,37.0,255.0,2bbd5761538645c757181567f0efb9778298bd9f,"(1.0, 1.0)","(761, 759)","(229, 495, 6, 6)",28,1,"(231.46428571428572, 497.60714285714283)","(231.46428571428572, 497.60714285714283)",1.5446150394212905,188006.0,0.4081632653061224,14.959183673469386,1.575148761152233,6.017495629599906,0.8369047619047619,0.7472619047619048,0.39862904032222723,24.032293325821406,4.544393102096805,11.428571428571429,5.571428571428571,2.4438775510204085,0.6058432539682539,3.857142857142857,2.749999999999998,25.25,0.5421180555555556,1.75,2.75,9.453008021390374,0.6925025763146166,2.8427139037433156
Normal- (1796).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},da890e49569e4a509c5b15f0b20ca4d2537ebd8d,2D,"(1.0, 1.0)","(761, 759)",99.42988994094519,37.0,255.0,dad55e3f6520687360dc1893d425cb7ece77820d,"(1.0, 1.0)","(761, 759)","(187, 411, 7, 7)",29,2,"(189.44827586206895, 414.58620689655174)","(189.44827586206895, 414.58620689655174)",1.1783043483886702,163016.0,0.5101070154577884,15.84304399524376,1.3868452869961438,4.558449924373061,0.5508870214752568,0.8255088702147526,0.2549335872838593,4.7145489504472895,1.4539460657113947,14.793103448275861,4.862068965517241,4.516052318668252,0.728448275862069,2.8620689655172415,2.2499999999999982,39.375,0.5594603037293349,1.1875,2.75,8.528508771929824,0.6967417132240323,3.698464912280702
Normal- (1797).jpg,v3.0.1,1.26.4,2.4.0,1.7.0,3.10.12,"{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 255, 'additionalInfo': True, 'binWidth': 25}",{'Original': {}},55474821027224dc50f039bb02911f4c38d70806,2D,"(1.0, 1.0)","(761, 759)",99.28142708003303,37.0,255.0,637572cbab739b7c95c21f489e7b611d8678c598,"(1.0, 1.0)","(761, 759)","(193, 412, 12, 6)",55,1,"(198.5818181818182, 414.6545454545454)","(198.5818181818182, 414.6545454545454)",1.325491895974486,231248.0,0.5160330578512398,11.444628099173555,1.6498133246015434,5.912455452279765,0.5487489660876758,0.8274038461538461,0.3359978606454453,5.823780604006719,1.151330819659034,28.381818181818183,7.618181818181818,3.9219834710743804,0.3345959595959596,4.636363636363637,2.7254805569978653,104.33333333333333,0.38958350830043953,0.9876543209876543,1.8888888888888888,12.567752660494595,0.6451503738967737,4.871989212715019
